fast_ema_period,slow_ema_period,stop_loss_pct,take_profit_pct,strategy_type,phase,total_orders,total_positions,pnl_total,pnl_pct,win_rate,expectancy,max_winner,avg_winner,avg_loser,max_loser,profit_factor,sharpe,sortino,volatility
8,100,0.02,0.02,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.02,0.04,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.02,0.06,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.03,0.02,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.03,0.04,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
8,100,0.03,0.06,ema,IS,784,196,-45.7756,-0.4578,0.1786,-0.233549,90.8365,15.0071,-3.5467,-24.1239,0.9913,-0.0594,-0.1117,0.5055
10,20,0.01,0.04,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.01,0.02,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.01,0.06,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.02,0.02,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.02,0.04,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.02,0.06,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.03,0.02,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,20,0.03,0.04,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,30,0.01,0.02,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,20,0.03,0.06,ema,IS,1636,409,42.7432,0.4274,0.2543,0.104507,53.6321,8.3904,-2.7208,-17.4068,1.1536,1.4894,2.8491,0.4214
10,30,0.01,0.04,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,30,0.01,0.06,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,30,0.02,0.02,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,30,0.02,0.04,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
10,30,0.02,0.06,ema,IS,1292,323,112.0673,1.1207,0.2446,0.346958,51.754,9.9087,-2.7488,-24.6371,1.2666,2.3264,4.6107,0.3966
